dates
5/27/16
11/28/16
9/22/16
4/23/16
6/12/16
8/22/16
8/6/16
10/12/16
3/21/16
6/26/16
1/7/17
3/14/16
10/26/16
10/29/16
8/24/16
11/4/16
10/24/16
2/25/16
4/21/16
9/15/16
10/24/16
5/8/16
3/25/16
10/7/16
8/13/16
6/3/16
9/4/16
5/30/16
4/7/16
5/12/16
5/31/16
3/24/16
1/16/16
8/3/16
1/19/16
5/23/16
1/28/16
1/23/16
6/25/16
9/17/16
12/22/16
5/13/16
3/25/16
9/2/16
12/28/16
1/7/17
7/16/16
5/11/16
6/5/16
1/22/16
12/8/16
4/2/16
8/6/16
10/6/16
4/29/16
4/27/16
11/24/16
10/4/16
9/16/16
12/23/16
11/29/16
8/10/16
8/30/16
9/30/16
10/2/16
7/11/16
5/18/16
4/14/16
7/3/16
8/29/16
9/11/16
10/17/16
8/21/16
5/21/16
9/11/16
1/27/16
6/7/16
3/23/16
10/6/16
10/20/16
6/2/16
9/18/16
2/1/16
12/22/16
4/24/16
3/26/16
3/29/16
7/11/16
9/24/16
8/15/16
3/29/16
8/10/16
1/8/16
10/20/16
12/19/16
5/16/16
7/17/16
5/21/16
2/17/16
7/20/16
6/10/16
8/17/16
12/25/16
8/26/16
12/13/16
6/27/16
1/4/17
3/28/16
2/2/16
1/17/16
1/11/16
10/21/16
10/16/16
3/28/16
8/18/16
5/18/16
2/4/16
7/22/16
12/10/16
9/25/16
1/1/17
5/6/16
9/16/16
9/2/16
12/18/16
3/5/16
11/12/16
4/11/16
11/14/16
5/29/16
8/30/16
2/28/16
6/8/16
12/25/16
4/27/16
6/19/16
7/30/16
8/24/16
7/5/16
2/18/16
5/6/16
10/14/16
6/12/16
11/21/16
2/8/16
10/30/16
7/24/16
10/12/16
1/21/16
7/20/16
6/29/16
5/2/16
8/7/16
4/3/16
4/14/16
1/7/17
5/5/16
12/29/16
4/18/16
8/25/16
3/28/16
6/1/16
9/2/16
9/21/16
1/2/17
1/18/16
4/21/16
9/21/16
8/11/16
3/31/16
1/10/16
6/19/16
4/8/16
9/7/16
5/24/16
2/19/16
5/2/16
1/9/16
11/25/16
7/10/16
9/22/16
8/8/16
10/3/16
7/7/16
9/29/16
3/20/16
1/28/16
8/21/16
6/5/16
3/4/16
11/9/16
6/9/16
3/23/16
2/24/16
6/22/16
12/21/16
5/26/16
12/4/16
2/19/16
7/10/16
4/29/16
12/27/16
5/8/16
9/29/16
11/14/16
5/1/16
2/18/16
11/23/16
6/15/16
12/27/16
11/20/16
7/24/16
9/25/16
8/27/16
8/23/16
12/23/16
11/29/16
1/11/16
4/15/16
1/23/16
2/10/16
12/11/16
11/9/16
12/31/16
1/18/16
8/9/16
4/16/16
2/19/16
11/19/16
3/16/16
9/8/16
2/23/16
7/17/16
3/9/16
2/12/16
7/25/16
8/23/16
11/8/16
6/25/16
9/23/16
7/11/16
10/19/16
1/16/16
10/29/16
10/16/16
11/6/16
8/13/16
1/17/16
1/26/16
5/5/16
8/31/16
1/22/16
3/12/16
12/16/16
10/8/16
6/7/16
11/30/16
11/22/16
10/10/16
5/27/16
5/3/16
4/25/16
11/17/16
3/28/16
6/12/16
1/4/17
10/16/16
7/11/16
4/27/16
10/30/16
9/10/16
10/29/16
5/19/16
6/2/16
11/24/16
3/7/16
7/11/16
1/19/16
3/16/16
12/10/16
3/22/16
1/9/16
9/3/16
1/15/16
5/23/16
8/10/16
8/9/16
6/18/16
2/12/16
2/4/16
2/10/16
7/21/16
9/10/16
7/18/16
4/23/16
10/25/16
7/11/16
12/9/16
1/30/16
2/25/16
4/17/16
9/10/16
10/30/16
9/15/16
6/19/16
9/24/16
9/9/16
4/25/16
6/6/16
12/22/16
7/9/16
2/10/16
4/21/16
3/31/16
2/18/16
12/27/16
5/1/16
11/12/16
12/3/16
12/22/16
9/10/16
8/28/16
2/24/16
